fabricante,tipo_vehículo,transmision,tipo_combustible,cat_precio,marchas,cilindros,tamaño_motor,consumo_ciudad,consumo_carretera,consumo_combinado,mpg,co2
acura,compact,automático con selector de marcha,gasolina premium,rango_medio,5,4,2.0,9.9,6.7,8.5,33,196
acura,compact,manual,gasolina premium,rango_medio,6,4,2.4,11.2,7.7,9.6,29,221
acura,compact,automático variable,gasolina premium,rango_medio,7,4,1.5,6.0,5.8,5.9,48,136
acura,suv - small,automático con selector de marcha,gasolina premium,rango_medio,6,6,3.5,12.7,9.1,11.1,25,255
acura,suv - small,automático con selector de marcha,gasolina premium,rango_medio,6,6,3.5,12.1,8.7,10.6,27,244
acura,mid-size,automático con selector de marcha,gasolina premium,rango_medio,6,6,3.5,11.9,7.7,10.0,28,230
acura,mid-size,automático con selector de marcha,gasolina premium,rango_medio,6,6,3.5,11.8,8.1,10.1,28,232
acura,mid-size,automático con selector de marcha,gasolina premium,rango_medio,6,6,3.7,12.8,9.0,11.1,25,255
acura,mid-size,manual,gasolina premium,rango_medio,6,6,3.7,13.4,9.5,11.6,24,267
acura,compact,automático con selector de marcha,gasolina premium,rango_medio,5,4,2.4,10.6,7.5,9.2,31,212
acura,compact,manual,gasolina premium,rango_medio,6,4,2.4,11.2,8.1,9.8,29,225
acura,compact,automático con selector de marcha,gasolina premium,rango_medio,5,6,3.5,12.1,8.3,10.4,27,239
alfa romeo,two-seater,automático manual,gasolina premium,rango_medio,6,4,1.8,9.7,6.9,8.4,34,193
aston martin,minicompact,automático,gasolina premium,premium,6,12,5.9,18.0,12.6,15.6,18,359
aston martin,subcompact,automático,gasolina premium,premium,6,12,5.9,18.0,12.6,15.6,18,359
aston martin,two-seater,automático manual,gasolina premium,premium,7,8,4.7,17.4,11.3,14.7,19,338
aston martin,two-seater,manual,gasolina premium,premium,6,8,4.7,18.1,12.2,15.4,18,354
audi,compact,automático variable,gasolina premium,rango_medio,8,4,2.0,9.9,7.4,8.8,32,202
audi,compact,automático con selector de marcha,gasolina premium,rango_medio,8,4,2.0,11.5,8.1,10.0,28,230
audi,compact,manual,gasolina premium,rango_medio,6,4,2.0,10.8,7.5,9.3,30,214
audi,subcompact,automático con selector de marcha,gasolina premium,rango_medio,8,4,2.0,11.5,8.1,10.0,28,230
audi,subcompact,manual,gasolina premium,rango_medio,6,4,2.0,10.8,7.5,9.3,30,214
audi,mid-size,automático con selector de marcha,gasolina premium,rango_medio,8,4,2.0,12.0,8.1,10.2,28,235
audi,mid-size,automático con selector de marcha,gasolina premium,rango_medio,8,6,3.0,12.8,8.6,10.9,26,251
audi,mid-size,automático con selector de marcha,diesel,rango_medio,8,6,3.0,9.8,6.2,8.1,35,217
audi,mid-size,automático con selector de marcha,gasolina premium,rango_medio,8,6,3.0,13.3,8.5,11.2,25,262
audi,mid-size,automático con selector de marcha,gasolina premium,rango_medio,8,6,3.0,13.1,8.8,11.2,25,258
audi,mid-size,automático con selector de marcha,gasolina premium,rango_medio,8,8,4.0,13.7,8.3,11.3,25,265
audi,mid-size,automático con selector de marcha,diesel,rango_medio,8,6,3.0,9.8,6.5,8.4,34,224
audi,full-size,automático con selector de marcha,gasolina premium,rango_medio,8,6,3.0,13.1,8.8,11.2,25,258
audi,full-size,automático con selector de marcha,gasolina premium,rango_medio,8,8,4.0,14.7,9.7,12.5,23,288
audi,full-size,automático con selector de marcha,gasolina premium,rango_medio,8,12,6.3,18.7,11.5,15.5,18,363
audi,full-size,automático con selector de marcha,diesel,rango_medio,8,6,3.0,9.8,6.5,8.4,34,224
audi,station wagon - small,automático con selector de marcha,gasolina premium,rango_medio,8,4,2.0,11.8,8.8,10.5,27,242
audi,suv - small,automático con selector de marcha,gasolina premium,rango_medio,8,4,2.0,12.0,8.5,10.4,27,239
audi,suv - small,automático con selector de marcha,gasolina premium,rango_medio,8,6,3.0,12.9,9.2,11.2,25,258
audi,suv - small,automático con selector de marcha,diesel,rango_medio,8,6,3.0,10.2,7.8,9.0,31,244
audi,suv - small,automático con selector de marcha,gasolina premium,rango_medio,8,4,2.0,9.9,8.3,9.2,31,212
